Character,Power_Level,Saga_or_Movie,Dragon_Ball_Series
Burter,"6,500,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Jeice,"6,500,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Guldo,"2,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Frieza,"124,500,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
King Cold,"580,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Super Perfect Cell (suppressed),"6,500,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Pikkon (Burning Shoot),"28,500,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Caterpy,"5,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Arqua,"35,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Frouge,"70,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Maraikoh,"90,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Torbie,"150,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Tapkar,"6,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Olibu,"300,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
King Kai,"3,500",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Goku (fighting Pikkon),"400,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Pikkon (suppressed),"500,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Goku (MSSJ),"20,000,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Pikkon (full power),"40,000,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Goku (Super Kaio-Ken),"40,000,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Pikkon's Thunder Flash,"45,200,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Gohan,"360,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Gohan (MSSJ),"18,000,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Videl,4,Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Vegeta,"1,400,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Vegeta (MSSJ),"70,000,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Vegeta (SSJ2),"140,000,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Trunks,"10,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Trunks (SSJ),"500,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Goten,"9,800,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Goten (SSJ),"490,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Krillin,"1,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Android 18,"8,000,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Yamcha,"800,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Piccolo,"1,000,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Videl (after learning to use energy),5,Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Mr. Satan,7,Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Goku,"2,800,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Supreme Kai,"100,000,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Kibito,"20,000,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Gohan (SSJ2),"36,000,000,000",Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Spopovich,150,Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Yamu,140,Great Saiyaman Saga/World Tournament Saga,Dragon Ball Z
Babidi,20,Babidi Saga/Majin Buu Saga,Dragon Ball Z
Pui pui,"300,000,000",Babidi Saga/Majin Buu Saga,Dragon Ball Z
Vegeta (fighting Pui pui),"1,400,000,000",Babidi Saga/Majin Buu Saga,Dragon Ball Z
Yakon,"1,800,000,000",Babidi Saga/Majin Buu Saga,Dragon Ball Z
Goku (fighting Yakkon),"2,800,000,000",Babidi Saga/Majin Buu Saga,Dragon Ball Z
Goku (MSSJ),"140,000,000,000",Babidi Saga/Majin Buu Saga,Dragon Ball Z
Gohan (fighting Dabura),"360,000,000",Babidi Saga/Majin Buu Saga,Dragon Ball Z
Dabura (Suppressed),"300,000,000",Babidi Saga/Majin Buu Saga,Dragon Ball Z
Gohan (MSSJ),"18,000,000,000",Babidi Saga/Majin Buu Saga,Dragon Ball Z
Gohan (SSJ2),"36,000,000,000",Babidi Saga/Majin Buu Saga,Dragon Ball Z
Dabura (full power),"30,500,000,000",Babidi Saga/Majin Buu Saga,Dragon Ball Z
Goku (SSJ2),"280,000,000,000",Babidi Saga/Majin Buu Saga,Dragon Ball Z
Majin Vegeta (MSSJ),"140,000,000,000",Babidi Saga/Majin Buu Saga,Dragon Ball Z
Majin Vegeta (SSJ2),"280,000,000,000",Babidi Saga/Majin Buu Saga,Dragon Ball Z
Gohan's Electric Kamehameha,"47,100,000,000",Babidi Saga/Majin Buu Saga,Dragon Ball Z
Majin Buu,"350,000,000,000",Babidi Saga/Majin Buu Saga,Dragon Ball Z
Majin Vegeta's Final Explosion,"500,000,000,000",Babidi Saga/Majin Buu Saga,Dragon Ball Z
Goku (SSJ3),"1,120,000,000,000",Babidi Saga/Majin Buu Saga,Dragon Ball Z
Gotenks,"1,980,000,000",Fusion Saga,Dragon Ball Z
Gotenks (SSJ),"99,000,000",Fusion Saga,Dragon Ball Z
Good Buu,"350,000,000,000",Fusion Saga,Dragon Ball Z
Evil Buu,"350,000,000,000",Fusion Saga,Dragon Ball Z
Super Buu,"800,000,000,000",Fusion Saga,Dragon Ball Z
Piccolo,"1,000,000,000",Fusion Saga,Dragon Ball Z
Tien,"2,500,000",Fusion Saga,Dragon Ball Z
Chiaotzu,"100,000",Fusion Saga,Dragon Ball Z
Goten (post-HTC),"19,600,000",Fusion Saga,Dragon Ball Z
Goten (MSSJ),"980,000,000",Fusion Saga,Dragon Ball Z
Trunks (post-HTC),"20,000,000",Fusion Saga,Dragon Ball Z
Trunks (MSSJ),"1,000,000,000",Fusion Saga,Dragon Ball Z
Gotenks,"3,960,000,000",Fusion Saga,Dragon Ball Z
Gotenks (MSSJ),"198,000,000,000",Fusion Saga,Dragon Ball Z
Gotenks (SSJ2),"396,000,000,000",Fusion Saga,Dragon Ball Z
Gotenks (SSJ3),"1,584,000,000,000",Fusion Saga,Dragon Ball Z
Gohan (Zenkai),"510,000,000",Fusion Saga,Dragon Ball Z
Gohan (MSSJ),"25,500,000,000",Fusion Saga,Dragon Ball Z
Gohan (SSJ2),"51,000,000,000",Fusion Saga,Dragon Ball Z
Gohan (Training with Z sword),"750,000,000",Fusion Saga,Dragon Ball Z
Gohan (MSSJ),"37,500,000,000",Fusion Saga,Dragon Ball Z
Gohan (SSJ2),"75,000,000,000",Fusion Saga,Dragon Ball Z
Old Kai,"1,500,000",Fusion Saga,Dragon Ball Z
Gohan (Full Potential Unlocked),"40,000,000,000",Fusion Saga,Dragon Ball Z
Ultimate Gohan,"4,000,000,000,000",Fusion Saga,Dragon Ball Z
Piccolo (full power),"50,000,000,000",Fusion Saga,Dragon Ball Z
Super Buu (Gotenks and Piccolo absorbed),"1,048,000,000",Fusion Saga,Dragon Ball Z
Tien's Neo Tri-Beam,"8,000,000",Fusion Saga,Dragon Ball Z
Kibito Kai,"120,000,000,000",Fusion Saga,Dragon Ball Z
Goku,"2,800,000,000",Fusion Saga,Dragon Ball Z
Goku (SSJ3),"1,120,000,000,000",Fusion Saga,Dragon Ball Z
"Super Buu (Trunks, Goten and Piccolo absorbed)","850,039,600,000",Fusion Saga,Dragon Ball Z
Super Buu (Gohan absorbed),"4,850,039,600,000",Fusion Saga,Dragon Ball Z
Vegeta,"2,800,000,000",Fusion Saga,Dragon Ball Z
Vegeta (MSSJ),"140,000,000,000",Fusion Saga,Dragon Ball Z
Vegeta (SSJ2),"280,000,000,000",Fusion Saga,Dragon Ball Z
Goku (MSSJ),"140,000,000,000",Fusion Saga,Dragon Ball Z
Goku (SSJ2),"280,000,000,000",Fusion Saga,Dragon Ball Z
Vegito,"560,000,000,000",Fusion Saga,Dragon Ball Z
Vegito (MSSJ),"28,000,000,000,000",Fusion Saga,Dragon Ball Z
Super Buu,"800,000,000,000",Fusion Saga,Dragon Ball Z
Ultra Buu,"2,000,000,000,000",Kid Buu Saga,Dragon Ball Z
Kid Buu,"500,000,000,000",Kid Buu Saga,Dragon Ball Z
Western Supreme Kai,"110,000,000,000",Kid Buu Saga,Dragon Ball Z
Northern Supreme Kai,"100,000,000,000",Kid Buu Saga,Dragon Ball Z
Southern Supreme Kai,"500,000,000,000",Kid Buu Saga,Dragon Ball Z
Grand Supreme Kai,"120,000,000,000",Kid Buu Saga,Dragon Ball Z
Kid Buu's Planet Burst,"1,000,000,000,000",Kid Buu Saga,Dragon Ball Z
Krillin (training in Other World),"2,000,000",Kid Buu Saga,Dragon Ball Z
Yamcha (after regaining fighting spirit in Other World),"1,750,000",Kid Buu Saga,Dragon Ball Z
Pikkon,"140,000,000,000",Kid Buu Saga,Dragon Ball Z
Olibu,"2,100,000,000",Kid Buu Saga,Dragon Ball Z
Goku,"2,800,000,000",Kid Buu Saga,Dragon Ball Z
Goku (MSSJ),"140,000,000,000",Kid Buu Saga,Dragon Ball Z
Vegeta,"2,800,000,000",Kid Buu Saga,Dragon Ball Z
Vegeta (MSSJ),"140,000,000,000",Kid Buu Saga,Dragon Ball Z
Goku (SSJ2),"280,000,000,000",Kid Buu Saga,Dragon Ball Z
"Goku (SSJ3, holding back)","850,000,000",Kid Buu Saga,Dragon Ball Z
"Vegeta (SSJ2, fighting Kid Buu)","280,000,000,000",Kid Buu Saga,Dragon Ball Z
Goku's True Kamehameha,"2,500,000,000,000",Kid Buu Saga,Dragon Ball Z
"Goku (SSJ3, weakening)","500,000,000,000",Kid Buu Saga,Dragon Ball Z
"Goku (SSJ3, weakening)","300,000,000,000",Kid Buu Saga,Dragon Ball Z
"Vegeta (SSJ2, weakened)","138,250,000,000",Kid Buu Saga,Dragon Ball Z
Mr. Satan,7,Kid Buu Saga,Dragon Ball Z
Good Buu,"350,000,000,000",Kid Buu Saga,Dragon Ball Z
Android 17,"7,000,000,000",Kid Buu Saga,Dragon Ball Z
Goku's Spirit Bomb,"5,000,000,000,000",Kid Buu Saga,Dragon Ball Z
Goku (weakened),"850,000,000",Kid Buu Saga,Dragon Ball Z
"Goku (MSSJ, back to full strength)","140,000,000,000",Kid Buu Saga,Dragon Ball Z
Goku,"28,000,000,000",Kid Buu Saga,Dragon Ball Z
Goku (MSSJ),"1,400,000,000,000",Kid Buu Saga,Dragon Ball Z
Goku (SSJ2),"2,800,000,000,000",Kid Buu Saga,Dragon Ball Z
Goku (SSJ3),"11,200,000,000,000",Kid Buu Saga,Dragon Ball Z
Goten,"196,000,000",Kid Buu Saga,Dragon Ball Z
Goten (MSSJ),"9,800,000,000",Kid Buu Saga,Dragon Ball Z
Vegeta,"28,000,000,000",Kid Buu Saga,Dragon Ball Z
Vegeta (MSSJ),"1,400,000,000,000",Kid Buu Saga,Dragon Ball Z
Vegeta (SSJ2),"2,800,000,000,000",Kid Buu Saga,Dragon Ball Z
Trunks,"200,000,000",Kid Buu Saga,Dragon Ball Z
Trunks (MSSJ),"10,000,000,000",Kid Buu Saga,Dragon Ball Z
Gohan,"40,000,000,000",Kid Buu Saga,Dragon Ball Z
Gohan (MSSJ),"2,000,000,000,000",Kid Buu Saga,Dragon Ball Z
Gohan (SSJ2),"4,000,000,000,000",Kid Buu Saga,Dragon Ball Z
Piccolo,"10,000,000,000",Kid Buu Saga,Dragon Ball Z
Piccolo (full power),"500,000,000,000",Kid Buu Saga,Dragon Ball Z
Krillin,"3,000,000",Kid Buu Saga,Dragon Ball Z
Yamcha,"2,750,000",Kid Buu Saga,Dragon Ball Z
Uub,"19,500,000,000",Kid Buu Saga,Dragon Ball Z
"Goku (supressed, fighting Uub)","20,000,000,000",Kid Buu Saga,Dragon Ball Z
Good Buu,"400,000,000,000",Kid Buu Saga,Dragon Ball Z
Pan,"100,000",Kid Buu Saga,Dragon Ball Z
Uub,"800,000,000,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Goku,"44,800,000,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Goku (kid),"30,000,000,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Mr. Popo,"1,030",Black-Star Dragon Ball Saga,Dragon Ball GT
Dende,10,Black-Star Dragon Ball Saga,Dragon Ball GT
Pan,"5,000,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Master Roshi,139,Black-Star Dragon Ball Saga,Dragon Ball GT
Chi-chi,90,Black-Star Dragon Ball Saga,Dragon Ball GT
Gohan,"40,000,000,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Videl,5,Black-Star Dragon Ball Saga,Dragon Ball GT
King Kai,"3,500",Black-Star Dragon Ball Saga,Dragon Ball GT
Bulma,1.5,Black-Star Dragon Ball Saga,Dragon Ball GT
Mr. Satan,6,Black-Star Dragon Ball Saga,Dragon Ball GT
Trunks,"3,000,000,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Goten,"3,000,000,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Vegeta,"40,000,000,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Giru,"1,000,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Don Kee,5,Black-Star Dragon Ball Saga,Dragon Ball GT
Gale,"25,000,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Sheela,"24,000,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Trunks,"3,000,000,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Goku,"30,000,000,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Ledgic,"30,000,000,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Goku (MSSJ),"1,500,000,000,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Zoonama,"10,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Bon Para,"8,500,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Don Para," 6,800,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Son Para,"3,200,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Cardinal Mutchy Mutchy,"8,500,000,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Cardinal Mutchy Mutchy (true form),"40,000,000,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Goku,"30,000,000,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Goku (MSSJ),"1,500,000,000,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Cardinal Mutchy Mutchy (Goku's energy absorbed),"480,000,000,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Trunks' Brave Cannon,"20,000,000,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Dolltaki,5,Black-Star Dragon Ball Saga,Dragon Ball GT
Luud (2/3 power),"36,000,000,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Luud (full power),"600,000,000,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Commander Nezi,"6,500,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Bizu,"5,600,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Ribet,"4,600,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Natt,"1,400,000",Black-Star Dragon Ball Saga,Dragon Ball GT
Goku,"30,000,000,000",Baby Saga,Dragon Ball GT
Super Mega Cannon Sigma,"1,670,000,000",Baby Saga,Dragon Ball GT
General Rilldo,"500,000,000,000",Baby Saga,Dragon Ball GT
Pan,"5,000,000",Baby Saga,Dragon Ball GT
Goku (MSSJ),"1,500,000,000,000",Baby Saga,Dragon Ball GT
Meta-Rilldo,"1,000,000,000,000",Baby Saga,Dragon Ball GT
Hyper Meta- Rilldo,"2,500,000,000,000",Baby Saga,Dragon Ball GT
Goku (SSJ2),"3,000,000,000,000",Baby Saga,Dragon Ball GT
Dr. Myuu,"1,200,000",Baby Saga,Dragon Ball GT
Baby (infant form),"800,000,000",Baby Saga,Dragon Ball GT
Baby (after absorbing people),"8,000,000,000",Baby Saga,Dragon Ball GT
Trunks (MSSJ),"150,000,000,000",Baby Saga,Dragon Ball GT
Mr. Satan,6,Baby Saga,Dragon Ball GT
Baby (teenage form),"16,000,000,000",Baby Saga,Dragon Ball GT
Goten,"3,000,000,000",Baby Saga,Dragon Ball GT
Goten (MSSJ),"150,000,000,000",Baby Saga,Dragon Ball GT
"Gohan (suppressed, fighting Baby Goten)","210,000,000,000",Baby Saga,Dragon Ball GT
Gohan (SSJ2),"2,000,000,000,000",Baby Saga,Dragon Ball GT
Piccolo,"10,000,000,000",Baby Saga,Dragon Ball GT
Baby Gohan (MSSJ),"2,000,000,000,000",Baby Saga,Dragon Ball GT
Vegeta,"40,000,000,000",Baby Saga,Dragon Ball GT
Baby Gohan (SSJ2),"4,000,000,000,000",Baby Saga,Dragon Ball GT
Vegeta (MSSJ),"2,000,000,000,000",Baby Saga,Dragon Ball GT
Baby Goten,"4,000,000,000",Baby Saga,Dragon Ball GT
Vegeta (SSJ2),"4,000,000,000,000",Baby Saga,Dragon Ball GT
Baby Vegeta,"50,000,000,000",Baby Saga,Dragon Ball GT
Good Buu,"400,000,000,000",Baby Saga,Dragon Ball GT
Baby Trunks,"4,000,000,000",Baby Saga,Dragon Ball GT
Goku,"30,000,000,000",Baby Saga,Dragon Ball GT
Baby Gohan (MSSJ),"2,000,000,000,000",Baby Saga,Dragon Ball GT
Baby Goten (MSSJ),"200,000,000,000",Baby Saga,Dragon Ball GT
Baby Bulla,"1,500,000",Baby Saga,Dragon Ball GT
Goku (SSJ3),"12,000,000,000,000",Baby Saga,Dragon Ball GT
Super Baby Vegeta,"2,500,000,000,000",Baby Saga,Dragon Ball GT
Super Baby Vegeta 2,"5,000,000,000,000",Baby Saga,Dragon Ball GT
Kibito Kai,"120,000,000,000",Baby Saga,Dragon Ball GT
Old Kai,"1,500,000",Baby Saga,Dragon Ball GT
Uub,"800,000,000,000",Baby Saga,Dragon Ball GT
"Super Baby Vegeta 2 (supressed, fighting Uub)","900,000,000,000",Baby Saga,Dragon Ball GT
Majuub,"2,500,000,000,000",Baby Saga,Dragon Ball GT
"Super Baby Vegeta 2 (supressed, fighting Majuub)","3,000,000,000,000",Baby Saga,Dragon Ball GT
Goku (with tail),"40,000,000,000",Baby Saga,Dragon Ball GT
Goku (MSSJ),"2,000,000,000,000",Baby Saga,Dragon Ball GT
Goku (SSJ2),"4,000,000,000,000",Baby Saga,Dragon Ball GT
Goku (SSJ3),"16,000,000,000,000",Baby Saga,Dragon Ball GT
Super Baby Vegeta 2 (full power),"5,000,000,000,000",Baby Saga,Dragon Ball GT
Golden Great Ape Goku,"40,000,000,000,000",Baby Saga,Dragon Ball GT
Goku (SSJ4),"160,000,000,000,000",Baby Saga,Dragon Ball GT
Golden Great Ape Baby Vegeta (supressed),"18,500,000,000,000",Baby Saga,Dragon Ball GT
Golden Great Ape Baby Vegeta's Super Galick Gun,"40,000,000,000,000",Baby Saga,Dragon Ball GT
Goku's 10x Kamehameha,"200,000,000,000,000",Baby Saga,Dragon Ball GT
Golden Great Ape Baby Vegeta (full power),"20,000,000,000,000",Baby Saga,Dragon Ball GT
Pan (Zenkai),"8,500,000",Baby Saga,Dragon Ball GT
Trunks (Zenkai),"5,000,000,000",Baby Saga,Dragon Ball GT
Goten (Zenkai),"5,000,000,0000",Baby Saga,Dragon Ball GT
Gohan (Zenkai),"45,000,000,000",Baby Saga,Dragon Ball GT
Trunks (MSSJ),"250,000,000,000",Baby Saga,Dragon Ball GT
Goten (MSSJ),"250,000,000,000",Baby Saga,Dragon Ball GT
Gohan (SSJ2),"4,500,000,000,000",Baby Saga,Dragon Ball GT
Majuub,"2,500,000,000,000",Baby Saga,Dragon Ball GT
"Goku (SSJ4, Gohan, Trunks, Goten, and Pan's energy and Zenkai)","400,000,000,000,000",Baby Saga,Dragon Ball GT
Baby (adult form),"80,000,000,000",Baby Saga,Dragon Ball GT
Goku's 10x Kamehameha,"4,000,000,000,000,000",Baby Saga,Dragon Ball GT
Goku,"50,000,000,000",Super 17 saga,Dragon Ball GT
Krillin,"74,000",Super 17 saga,Dragon Ball GT
Trunks (fighting Android 17),"5,000,000,000",Super 17 saga,Dragon Ball GT
Vegeta (Zenkai),"50,000,000,000",Super 17 saga,Dragon Ball GT
Pan,"8,500,000",Super 17 saga,Dragon Ball GT
Mr. Satan,6,Super 17 saga,Dragon Ball GT
Goten,"5,000,000,000",Super 17 saga,Dragon Ball GT
Majuub (supressed),"200,000,000,000",Super 17 saga,Dragon Ball GT
Android 17,"150,000,000,000",Super 17 saga,Dragon Ball GT
Raditz,"28,700",Super 17 saga,Dragon Ball GT
Cooler,"584,000,000",Super 17 saga,Dragon Ball GT
Babidi,20,Super 17 saga,Dragon Ball GT
Zarbon,"4,200,000",Super 17 saga,Dragon Ball GT
Dodoria,"4,100,000",Super 17 saga,Dragon Ball GT
Recoome,"8,500,000",Super 17 saga,Dragon Ball GT
Jeice,"8,500,000",Super 17 saga,Dragon Ball GT
Burter,"8,500,000",Super 17 saga,Dragon Ball GT
Guldo,"3,000,000",Super 17 saga,Dragon Ball GT
Ginyu,"25,000,000",Super 17 saga,Dragon Ball GT
General Blue,75,Super 17 saga,Dragon Ball GT
Major Metallitron,84,Super 17 saga,Dragon Ball GT
Officer Black,20,Super 17 saga,Dragon Ball GT
Pui Pui,"400,000,000",Super 17 saga,Dragon Ball GT
Yakkon,"8,400,000,000",Super 17 saga,Dragon Ball GT
Android 19,"400,000,000",Super 17 saga,Dragon Ball GT
Hell fighter 17,"150,000,000,000",Super 17 saga,Dragon Ball GT
Frieza,"146,500,000",Super 17 saga,Dragon Ball GT
Cell,"60,000,000,000",Super 17 saga,Dragon Ball GT
Cell (Goku Absorbed),"120,000,000,000",Super 17 saga,Dragon Ball GT
Cell,"120,000,000,000",Super 17 saga,Dragon Ball GT
Saibamen,"1,200",Super 17 saga,Dragon Ball GT
General Rilldo,"500,000,000,000",Super 17 saga,Dragon Ball GT
Gohan,"45,000,000,000",Super 17 saga,Dragon Ball GT
Majuub (supressed),"300,000,000,000",Super 17 saga,Dragon Ball GT
Trunks,"5,000,000,000",Super 17 saga,Dragon Ball GT
Goten,"5,000,000,000",Super 17 saga,Dragon Ball GT
Android 18,"120,000,000,000",Super 17 saga,Dragon Ball GT
Nappa,"650,000",Super 17 saga,Dragon Ball GT
Super 17,"30,000,000,000,000",Super 17 saga,Dragon Ball GT
Gohan,"45,000,000,000",Super 17 saga,Dragon Ball GT
Gohan's Super Kamehameha,"7,000,000,000,000",Super 17 saga,Dragon Ball GT
Gohan (SSJ2),"4,500,000,000,000",Super 17 saga,Dragon Ball GT
Trunks (MSSJ),"250,000,000,000",Super 17 saga,Dragon Ball GT
"Majuub (full power, Majin Buu's power wore off)","3,000,000,000,000",Super 17 saga,Dragon Ball GT
Goten (MSSJ),"250,000,000,000",Super 17 saga,Dragon Ball GT
Vegeta (SSJ2),"5,000,000,000,000",Super 17 saga,Dragon Ball GT
Piccolo,"20,000,000,000",Super 17 saga,Dragon Ball GT
Vegeta's Final Shine Attack,"18,000,000,000,000",Super 17 saga,Dragon Ball GT
Goku (MSSJ),"2,500,000,000,000",Super 17 saga,Dragon Ball GT
Super 17 (attacks absorbed),"40,000,000,000,000",Super 17 saga,Dragon Ball GT
Goku (SSJ4),"200,000,000,000,000",Super 17 saga,Dragon Ball GT
Goku's 10x Kamehameha,"2,000,000,000,000,000",Super 17 saga,Dragon Ball GT
Super 17 (10x Kamehameha absorbed),"530,000,000,000,000",Super 17 saga,Dragon Ball GT
Android 18,"120,000,000,000",Super 17 saga,Dragon Ball GT
Goku,"50,000,000,000",Super 17 saga,Dragon Ball GT
Goku's Super Dragon Fist,"18,500,000,000,000,000",Super 17 saga,Dragon Ball GT
Super 17 (weakened),"2,100,000,000,000",Super 17 saga,Dragon Ball GT
Goku's Super Kamehameha,"34,000,000,000,000",Super 17 saga,Dragon Ball GT
Goku,"80,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Pan,"10,000,000",Shadow Dragon Saga,Dragon Ball GT
King Kai,"3,500",Shadow Dragon Saga,Dragon Ball GT
Kibito Kai,"120,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Mr. Popo,"1,030",Shadow Dragon Saga,Dragon Ball GT
Gohan (Zenkai),"50,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Goten (Zenkai),"8,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Trunks (Zenkai),"8,000,000,000",Shadow Dragon Saga,Dragon Ball GT
"Vegeta (normal base,Zenkai)","80,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Haze Shenron,"10,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Rage Shenron,"500,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Goku (SSJ4),"320,000,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Oceanus Shenron,"600,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Naturon Shenron (mole absorbed),"7,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Naturon Shenron (Pan absorbed),"70,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Naturon Shenron (true mole form),"700,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Nouva Shenron (heat armor),"1,500,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Goku,"80,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Goku (MSSJ),"4,000,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Goku (SSJ4),"320,000,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Nouva Shenron (full power),"30,000,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Ice Shenron,"30,000,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Goku's Dragon Fist,"2,000,000,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Syn Shenron,"500,000,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Gohan (SSJ2),"5,000,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Goten (MSSJ),"400,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Trunks (MSSJ),"400,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Majuub,"32,000,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Goku (SSJ4),"320,000,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Vegeta,"80,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Omega Shenron,"7,000,000,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Golden Great Ape Vegeta,"80,000,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Vegeta (SSJ4),"320,000,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Gogeta (SSJ4),"64,000,000,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Goku,"100,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Vegeta,"100,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Vegeta (MSSJ),"5,000,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Vegeta (SSJ2),"10,000,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Goku (MSSJ),"5,000,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Tien,"35,000,000",Shadow Dragon Saga,Dragon Ball GT
