"决定","性别","吸引力","共同爱好","幽默","真诚","雄心","智力","好感","成功率自估","日常出门频率","对宗教的看重程度","对种族的看重程度","年龄","种族","从事领域","对方决定","好感得分","对方评估成功率","吸引力得分","共同爱好得分","幽默得分","真诚得分","雄心得分","智力得分","对方年龄","对方种族","是否同一种族","日常约会频率"
1,0,8,7,8,8,7,8,7,2,4,1,3,27,4,10,0,6,6,5,5,7,4,5,6,28,2,0,5
0,0,6,7,7,8,8,8,7,7,4,1,3,27,4,10,0,6,2,6,4,7,9,8,8,30,6,0,5
0,0,6,6,6,8,8,7,7,8,4,1,3,27,4,10,1,7,6,6,NA,NA,8,NA,7,22,4,1,5
1,0,8,9,8,8,8,8,9,8,4,1,3,27,4,10,1,10,5,10,10,7,9,7,8,32,2,0,5
1,0,7,8,8,8,8,8,7,7,4,1,3,27,4,10,0,6,5,7,6,6,8,7,8,26,2,0,5
1,0,8,7,6,8,8,8,7,7,4,1,3,27,4,10,0,8,5,6,4,6,9,7,8,27,2,0,5
1,0,8,8,9,8,8,9,9,8,4,1,3,27,4,10,1,5,1,6,7,6,9,5,9,25,1,0,5
0,0,7,NA,8,9,8,8,7,6,4,1,3,27,4,10,0,5,3,8,4,3,10,10,7,22,3,0,5
0,0,6,8,8,9,9,8,7,9,4,1,3,27,4,10,0,5,6.5,6,2,5.5,8,6,8,21,2,0,5
1,0,8,8,8,8,8,8,8,8,4,1,3,27,4,10,0,6,6,6,2,7,8,6,8,24,2,0,5
1,0,8,8,8,8,8,8,8,8,4,1,3,27,4,10,1,7,5,7,5,7,10,7,7,25,4,1,5
0,0,6,8,8,NA,8,8,8,7,4,1,3,27,4,10,0,5,2,6,NA,6,8,9,8,28,2,0,5
0,0,7,8,8,9,9,8,8,8,4,1,3,27,4,10,0,4,4,5,5,3,5,5,6,27,4,1,5
0,0,2,6,8,10,10,10,8,8,2,9,6,28,2,6,1,8,6,9,6,8,8,8,8,28,4,0,5
0,0,3,6,5,7,7,7,6,8,2,9,6,28,2,6,1,6,5,6,7,8,6,6,6,26,2,1,5
0,0,2,4,4,6,7,8,5,6,2,9,6,28,2,6,1,8,6,7,NA,8,7,NA,7,26,3,0,5
0,0,8,6,8,8,7,9,6,5,2,9,6,28,2,6,0,6,7,7,7,7,7,8,8,29,2,1,5
0,0,7,3,4,6,6,6,5,2,2,9,6,28,2,6,1,10,2,10,NA,NA,10,NA,10,39,2,1,5
1,0,8,8,7,8,9,8,9,7,2,9,6,28,2,6,1,9,9,8,8,5,7,5,7,28,2,1,5
0,0,3,5,6,8,7,8,7,8,2,9,6,28,2,6,1,8,3,9,8,9,8,9,9,30,6,0,5
0,0,3,2,2,8,9,9,4,3,2,9,6,28,2,6,1,7,5,8,NA,7,8,NA,7,22,4,0,5
0,0,2,1,1,8,7,10,2,5,2,9,6,28,2,6,1,9,5,10,9,8,9,8,7,32,2,1,5
0,0,4,6,6,9,7,8,7,8,2,9,6,28,2,6,1,8,7,8,8,8,8,8,8,26,2,1,5
1,0,6,7,8,8,4,8,8,8,2,9,6,28,2,6,1,8,4,8,6,7,6,7,7,27,2,1,5
0,0,9,7,8,9,2,9,7,7,2,9,6,28,2,6,1,7,1,8,5,8,7,10,9,25,1,0,5
0,0,4,3,9,9,8,8,7,2,2,9,6,28,2,6,0,3,7,9,9,3,5,10,6,22,3,0,5
0,0,2,4,8,7,6,6,8,10,2,9,6,28,2,6,1,9,7,10,8,9,9,9,9,21,2,1,5
1,0,7,7,8,7,7,7,8,9,2,9,6,28,2,6,1,7,5,8,6,7,7,6,6,24,2,1,5
0,0,6,7,8,9,8,8,7,7,2,9,6,28,2,6,1,8,5,8,5,6,10,8,8,25,4,0,5
0,0,6,6,6,6,7,7,6,2,2,9,6,28,2,6,0,4,2,5,5,5,5,10,8,28,2,1,5
0,0,4,5,6,9,7,9,6,8,2,9,6,28,2,6,0,4,2,4,3,6,4,8,7,27,4,0,5
1,0,7,8,10,7,9,10,8,8,2,7,2,25,6,9,1,8,7,9,6,8,9,6,8,28,4,0,3
0,0,4,4,5,8,7,7,6,7,2,7,2,25,6,9,0,4,6,4,4,6,6,5,5,26,2,0,3
0,0,5,7,8,10,9,8,8,8,2,7,2,25,6,9,1,8,8,7,NA,8,8,NA,8,26,3,0,3
0,0,8,8,7,9,8,10,7,7,2,7,2,25,6,9,0,5,6,5,7,5,6,6,6,29,2,0,3
0,0,7,6,7,10,8,7,9,7,2,7,2,25,6,9,1,10,4,10,NA,NA,10,NA,10,39,2,0,3
1,0,8,10,10,8,10,10,9,8,2,7,2,25,6,9,1,8,8,4,2,4,8,3,7,28,2,0,3
1,0,5,8,9,10,10,10,9,8,2,7,2,25,6,9,0,7,5,6,7,8,9,8,9,30,6,1,3
0,0,5,7,8,10,8,10,9,8,2,7,2,25,6,9,1,9,6,9,8,9,8,7,8,22,4,0,3
0,0,4,6,6,10,8,9,7,8,2,7,2,25,6,9,1,7,7,6,5,9,5,8,8,32,2,0,3
0,0,6,7,8,8,9,8,7,7,2,7,2,25,6,9,0,5,4,6,3,6,7,6,6,26,2,0,3
0,0,8,7,7,9,8,9,8,7,2,7,2,25,6,9,1,7,7,7,5,8,8,6,7,27,2,0,3
1,0,7,8,10,9,9,9,9,8,2,7,2,25,6,9,1,7,4,8,6,6,7,7,7,25,1,0,3
0,0,5,7,8,10,9,9,8,8,2,7,2,25,6,9,0,6,6,6,NA,5,10,3,5,22,3,0,3
1,0,7,9,10,10,8,9,10,8,2,7,2,25,6,9,1,8.5,6.5,8,7.5,8,8,7,8,21,2,0,3
1,0,7,10,10,10,8,10,8,8,2,7,2,25,6,9,0,6,4,6,4,7,7,5,6,24,2,0,3
1,0,6,8,8,10,8,10,9,8,2,7,2,25,6,9,1,8,5,7,5,8,10,7,8,25,4,0,3
0,0,7,6,9,8,8,8,8,7,2,7,2,25,6,9,0,5,5,6,7,8,8,6,9,28,2,0,3
0,0,6,7,8,10,8,9,8,8,2,7,2,25,6,9,0,5,4,5,3,5,6,5,5,27,4,0,3
0,0,4,8,6,6,9,7,5,3,1,5,1,35,3,8,1,6,5,7,5,7,7,7,7,28,4,0,6
0,0,5,8,7,6,8,8,6,4,1,5,1,35,3,8,1,6,5,7,5,6,7,7,8,26,2,0,6
0,0,4,6,5,8,7,8,5,2,1,5,1,35,3,8,0,7,6,7,NA,6,7,6,7,26,3,1,6
0,0,8,6,7,6,7,7,5,4,1,5,1,35,3,8,1,6,NA,7,4,6,6,8,7,29,2,0,6
0,0,5,4,4,6,5,7,5,2,1,5,1,35,3,8,1,10,3,10,NA,NA,10,NA,10,39,2,0,6
1,0,8,7,8,7,8,8,7,4,1,5,1,35,3,8,1,9,9,6,9,8,7,9,8,28,2,0,6
0,0,4,3,4,8,5,7,4,2,1,5,1,35,3,8,0,6,8,5,6,8,9,8,8,30,6,0,6
0,0,5,6,7,8,8,8,7,3,1,5,1,35,3,8,1,8,6,8,6,7,8,NA,8,22,4,0,6
0,0,5,4,6,7,7,8,6,3,1,5,1,35,3,8,1,9,8,10,6,8,9,5,8,32,2,0,6
0,0,7,8,8,8,8,8,7,4,1,5,1,35,3,8,1,7,6,8,8,8,8,8,8,26,2,0,6
0,0,7,6,6,8,6,8,3,3,1,5,1,35,3,8,1,7,5,7,5,7,6,7,6,27,2,0,6
0,0,5,8,8,10,8,8,4,3,1,5,1,35,3,8,1,6,3,8,8,7,9,5,8,25,1,0,6
0,0,5,8,8,8,8,8,4,3,1,5,1,35,3,8,1,10,7,10,10,10,10,10,10,22,3,1,6
1,0,8,8,7,8,5,8,4,3,1,5,1,35,3,8,1,8,9,9,6.5,8,10,7,9,21,2,0,6
0,0,5,5,6,7,7,9,5,4,1,5,1,35,3,8,0,6,5,6,4,7,7,6,5,24,2,0,6
0,0,4,8,9,8,6,8,6,3,1,5,1,35,3,8,1,8,5,7,5,7,10,7,8,25,4,0,6
0,0,4,6,4,7,8,8,4,2,1,5,1,35,3,8,0,5,3,7,NA,8,8,8,9,28,2,0,6
0,0,4,8,8,8,7,6,4,3,1,5,1,35,3,8,0,6,4,3,8,7,7,5,6,27,4,0,6
0,0,1,3,10,5,0,0,0,3,1,1,1,32,3,10,0,5,5,6,5,6,7,6,6,28,4,0,4
0,0,5,4,5,8,5,7,6,6,1,1,1,32,3,10,0,5,4,5,4,6,7,6,6,26,2,0,4
0,0,5,5,6,8,6,8,6,4,1,1,1,32,3,10,1,8,7,7,8,8,7,8,8,26,3,1,4
0,0,4,3,4,6,7,7,4,3,1,1,1,32,3,10,1,7,5,7,6,7,7,6,7,29,2,0,4
0,0,5,2,2,8,2,5,4,6,1,1,1,32,3,10,1,10,4,10,NA,NA,10,NA,10,39,2,0,4
1,0,7,7,7,5,5,6,7,5,1,1,1,32,3,10,0,7,7,4,7,7,6,7,7,28,2,0,4
0,0,2,5,4,5,7,7,3,4,1,1,1,32,3,10,0,6,6,5,5,8,8,7,9,30,6,0,4
0,0,3,5,2,7,2,7,4,5,1,1,1,32,3,10,1,8,5,8,6,7,9,NA,8,22,4,0,4
0,0,4,3,3,5,7,6,4,3,1,1,1,32,3,10,1,7,8,9,4,5,8,5,7,32,2,0,4
0,0,5,5,5,5,5,5,4,6,1,1,1,32,3,10,0,7,5,7,7,8,7,8,9,26,2,0,4
0,0,6,2,5,2,5,5,4,0,1,1,1,32,3,10,0,6,4,6,5,6,6,6,6,27,2,0,4
1,0,5,5,8,5,7,7,7,5,1,1,1,32,3,10,1,6,4,7,9,8,9,7,9,25,1,0,4
0,0,4,5,6,6,5,8,5,4,1,1,1,32,3,10,1,10,6,10,8,8,10,8,10,22,3,1,4
0,0,4,6,5,8,7,8,7,7,1,1,1,32,3,10,0,5,3,7,4,6.5,7,9,8.5,21,2,0,4
1,0,4,6,7,0,7,8,7,7,1,1,1,32,3,10,1,7,5,7,5,8,8,8,9,24,2,0,4
0,0,5,5,6,5,5,9,6,0,1,1,1,32,3,10,1,8,5,7,7,8,10,6,8,25,4,0,4
0,0,4,4,4,4,9,5,1,0,1,1,1,32,3,10,0,5,2,8,NA,6,6,8,7,28,2,0,4
0,0,3,4,4,5,5,5,4,4,1,1,1,32,3,10,0,5,5,2,3,5,6,5,6,27,4,0,4
0,0,4,1,1,1,10,4,1,3,4,5,3,30,2,11,0,5,5,7,5,7,7,7,7,28,4,0,6
0,0,5,2,5,6,6,7,4,5,4,5,3,30,2,11,0,5,3,5,6,6,7,5,6,26,2,1,6
0,0,5,2,6,5,6,6,3,3,4,5,3,30,2,11,1,8,6,7,NA,7,7,NA,7,26,3,0,6
1,0,7,4,7,8,5,7,7,7,4,5,3,30,2,11,0,5,7,6,4,5,6,7,6,29,2,1,6
0,0,8,1,1,8,1,8,3,4,4,5,3,30,2,11,1,10,4,10,NA,NA,10,NA,10,39,2,1,6
1,0,8,5,6,7,6,7,7,6,4,5,3,30,2,11,0,6,6,5,9,5,7,4,9,28,2,1,6
0,0,5,3,5,8,8,8,7,6,4,5,3,30,2,11,0,8,8,7,9,9,9,7,9,30,6,0,6
0,0,4,3,4,7,8,9,3,4,4,5,3,30,2,11,1,7,6,7,7,8,7,NA,7,22,4,0,6
0,0,5,3,6,8,5,8,5,5,4,5,3,30,2,11,0,4,6,5,3,2,6,7,7,32,2,1,6
0,0,8,3,6,7,6,7,6,6,4,5,3,30,2,11,0,7,5,6,7,8,7,7,8,26,2,1,6
1,0,7,5,7,7,9,8,7,5,4,5,3,30,2,11,0,6,2,6,5,6,8,5,6,27,2,1,6
0,0,8,2,6,8,6,8,6,4,4,5,3,30,2,11,1,6,4,7,7,7,7,6,8,25,1,0,6
0,0,6,2,6,8,8,7,6,5,4,5,3,30,2,11,0,4,5,6,NA,3,10,6,6,22,3,0,6
1,0,7,5,5,6,6,6,6,6,4,5,3,30,2,11,1,7,6,8,8,8,8,6,7,21,2,1,6
0,0,6,1,4,6,6,6,5,5,4,5,3,30,2,11,0,5,3,7,3,5,7,4,6,24,2,1,6
0,0,6,2,5,8,6,7,6,6,4,5,3,30,2,11,1,7,5,7,4,8,10,7,8,25,4,0,6
0,0,5,3,7,5,5,5,5,5,4,5,3,30,2,11,1,6,4,6,NA,8,8,8,8,28,2,1,6
0,0,6,1,2,4,6,6,3,6,4,5,3,30,2,11,0,6,3,3,6,6,8,7,7,27,4,0,6
0,0,5,NA,9,7,5,8,7,5,1,1,1,22,2,3,1,6,7,6,6,8,8,6,8,28,4,0,7
0,0,6,6,7,8,7,6,6,6,1,1,1,22,2,3,1,9,8,8,9,9,8,6,8,26,2,1,7
0,0,6,NA,4,7,NA,7,5,5,1,1,1,22,2,3,1,9,7,8,8,8,8,NA,9,26,3,0,7
1,0,7,6,7,7,7,7,7,5,1,1,1,22,2,3,1,7,7,8,7,8,8,8,8,29,2,1,7
0,0,7,5,5,8,5,7,6,5,1,1,1,22,2,3,1,10,4,10,10,10,10,NA,10,39,2,1,7
1,0,7,5,5,6,5,6,6,5,1,1,1,22,2,3,0,6,8,5,5,4,8,8,7,28,2,1,7
1,0,7,5,5,6,5,6,6,5,1,1,1,22,2,3,1,8,3,8,8,9,10,7,9,30,6,0,7
0,0,6,4,5,7,7,7,6,6,1,1,1,22,2,3,1,9,6,9,6,9,8,NA,8,22,4,0,7
0,0,5,4,5,8,5,6,6,4,1,1,1,22,2,3,1,7,7,6,5,8,8,8,8,32,2,1,7
0,0,7,3,5,6,5,6,5,4,1,1,1,22,2,3,0,7,5,6,6,7,7,7,7,26,2,1,7
1,0,9,7,8,8,5,7,8,5,1,1,1,22,2,3,1,7,7,7,6,8,7,7,7,27,2,1,7
1,0,7,6,8,8,8,8,7,6,1,1,1,22,2,3,1,7,5,8,6,8,8,7,8,25,1,0,7
1,0,5,6,7,7,7,7,7,7,1,1,1,22,2,3,0,7,6,8,1,8,6,9,7,22,3,0,7
1,0,10,8,6,7,6,7,5,2,1,1,1,22,2,3,1,8,8,8,8,7,8,8,8,21,2,1,7
1,0,10,5,7,8,10,6,9,4,1,1,1,22,2,3,1,8,2,8,5,7,6,7,8,24,2,1,7
1,0,6,7,7,7,5,7,7,5,1,1,1,22,2,3,1,7,5,7,8,8,10,7,8,25,4,0,7
1,0,8,8,7,7,7,7,8,6,1,1,1,22,2,3,1,8,6,7,8,8,8,7,9,28,2,1,7
0,0,4,NA,5,5,5,5,5,5,1,1,1,22,2,3,0,4,3,5,3,4,6,7,7,27,4,0,7
0,0,2,1,1,3,1,2,1,4,2,10,8,23,2,11,0,6,7,7,5,7,7,7,7,28,4,0,3
0,0,2,1,2,2,2,2,1,5,2,10,8,23,2,11,0,6,4,6,6,6,7,6,6,26,2,1,3
0,0,3,4,5,6,7,6,1,7,2,10,8,23,2,11,0,7,5,7,NA,7,6,NA,6,26,3,0,3
0,0,3,3,6,4,7,6,3,6,2,10,8,23,2,11,1,7,4,8,5,7,8,6,7,29,2,1,3
0,0,2,7,5,8,9,8,7,4,2,10,8,23,2,11,1,10,3,10,10,NA,10,NA,10,39,2,1,3
1,0,8,7,7,8,8,7,6,8,2,10,8,23,2,11,1,8,9,8,4,8,8,7,8,28,2,1,3
0,0,3,5,5,10,9,9,4,9,2,10,8,23,2,11,1,6,9,6,4,8,8,6,8,30,6,0,3
0,0,1,1,2,3,4,4,1,7,2,10,8,23,2,11,0,6,3,8,NA,6,6,NA,6,22,4,0,3
0,0,2,2,5,3,4,4,1,7,2,10,8,23,2,11,1,7,4,8,3,7,6,4,6,32,2,1,3
0,0,3,1,4,5,7,6,2,6,2,10,8,23,2,11,1,8,7,8,8,7,7,7,7,26,2,1,3
0,0,2,2,5,3,5,4,2,5,2,10,8,23,2,11,0,6,4,7,5,6,6,6,6,27,2,1,3
0,0,1,4,7,6,9,7,2,5,2,10,8,23,2,11,1,7,1,8,5,6,7,7,7,25,1,0,3
0,0,2,3,4,4,7,5,1,6,2,10,8,23,2,11,0,5,2,7,NA,8,3,4,6,22,3,0,3
1,0,8,8,9,10,8,8,8,8,2,10,8,23,2,11,1,8,8,9,8.5,9,9,9,9,21,2,1,3
0,0,7,5,6,9,7,7,5,9,2,10,8,23,2,11,0,5,4,7,3,6,7,7,6,24,2,1,3
0,0,2,4,8,4,8,7,4,5,2,10,8,23,2,11,1,6,6,7,8,8,10,7,8,25,4,0,3
0,0,4,2,7,3,5,6,5,7,2,10,8,23,2,11,1,7,4,7,NA,7,8,9,8,28,2,1,3
0,0,2,3,7,4,7,7,2,7,2,10,8,23,2,11,0,5,5,7,4,5,6,5,7,27,4,0,3
0,0,1,4,1,2,10,10,2,2,4,7,8,23,2,11,0,5,5,7,5,6,6,6,6,28,4,0,4
0,0,2,5,2,10,10,10,4,8,4,7,8,23,2,11,1,7,6,6,6,7,7,7,7,26,2,1,4
0,0,3,3,2,7,10,9,3,5,4,7,8,23,2,11,0,7,5,7,NA,7,7,NA,7,26,3,0,4
0,0,6,7,7,7,10,10,6,5,4,7,8,23,2,11,0,5,NA,6,6,5,7,7,6,29,2,1,4
0,0,3,10,3,10,10,10,6,8,4,7,8,23,2,11,1,10,4,10,10,10,10,NA,10,39,2,1,4
1,0,8,8,8,10,10,10,10,8,4,7,8,23,2,11,0,6,9,6,8,4,7,5,5,28,2,1,4
0,0,4,9,6,10,10,10,7,8,4,7,8,23,2,11,0,8,5,7,8,9,8,9,9,30,6,0,4
0,0,3,2,3,10,10,10,3,4,4,7,8,23,2,11,0,7,4,8,NA,7,8,NA,8,22,4,0,4
0,0,2,1,1,10,10,10,2,4,4,7,8,23,2,11,0,5,6,5,5,6,5,7,6,32,2,1,4
0,0,6,3,6,7,10,7,4,7,4,7,8,23,2,11,0,7,5,7,6,6,6,7,7,26,2,1,4
0,0,6,3,5,9,8,10,6,7,4,7,8,23,2,11,0,6,3,6,5,6,6,6,6,27,2,1,4
0,0,6,8,10,9,10,10,8,6,4,7,8,23,2,11,1,7,5,7,7,8,8,7,8,25,1,0,4
0,0,2,3,2,10,2,10,7,2,4,7,8,23,2,11,1,7,3,8,5,8,10,6,8,22,3,0,4
0,0,3,6,10,10,10,10,7,8,4,7,8,23,2,11,1,8,8,9,9,9,9,9,9,21,2,1,4
0,0,8,8,5,10,10,10,7,8,4,7,8,23,2,11,1,7,6,8,4,8,9,5,7,24,2,1,4
0,0,5,10,10,10,10,10,9,9,4,7,8,23,2,11,0,5,5,7,7,6,10,6,7,25,4,0,4
0,0,4,8,10,10,10,10,7,8,4,7,8,23,2,11,0,6,5,6,6,7,8,6,8,28,2,1,4
0,0,2,7,10,10,10,10,9,7,4,7,8,23,2,11,0,4,3,6,4,5,6,5,7,27,4,0,4
0,0,6,6,5,9,7,8,6,5,3,2,3,27,2,8,0,5,5,5,5,5,5,5,5,28,4,0,7
0,0,6,6,7,9,7,8,6,5,3,2,3,27,2,8,0,2,1,3,3,4,5,6,6,26,2,1,7
0,0,6,6,7,10,8,9,8,5,3,2,3,27,2,8,1,7,7,6,NA,7,7,7,7,26,3,0,7
0,0,7,5,8,9,9,9,2,5,3,2,3,27,2,8,1,7,5,8,5,7,8,7,7,29,2,1,7
0,0,6,5,6,9,7,7,5,5,3,2,3,27,2,8,1,9,2,10,NA,NA,10,NA,10,39,2,1,7
1,0,9,9,9,9,9,9,9,10,3,2,3,27,2,8,1,9,9,9,6,7,8,7,8,28,2,1,7
1,0,8,9,10,9,9,10,10,10,3,2,3,27,2,8,0,8,9,9,7,9,8,8,8,30,6,0,7
0,0,5,6,6,9,6,8,5,5,3,2,3,27,2,8,0,6,2,8,2,6,9,9,9,22,4,0,7
0,0,6,5,6,10,7,9,5,5,3,2,3,27,2,8,0,3,5,3,2,1,7,3,7,32,2,1,7
0,0,8,5,7,9,8,8,8,5,3,2,3,27,2,8,1,7,6,8,5,7,7,8,8,26,2,1,7
1,0,9,7,8,9,8,9,9,5,3,2,3,27,2,8,1,7,7,7,6,6,7,7,7,27,2,1,7
0,0,6,5,7,9,7,9,5,5,3,2,3,27,2,8,1,7,5,7,5,6,8,8,9,25,1,0,7
0,0,8,5,9,10,10,10,9,5,3,2,3,27,2,8,1,8,5,8,NA,8,8,10,8,22,3,0,7
0,0,9,6,10,9,7,10,8,5,3,2,3,27,2,8,0,7,6,8,4,6,7,9,9,21,2,1,7
0,0,9,7,10,9,8,8,8,5,3,2,3,27,2,8,0,5,3,6,4,6,5,6,7,24,2,1,7
0,0,8,6,8,10,8,10,8,5,3,2,3,27,2,8,0,5,5,8,3,6,10,8,8,25,4,0,7
0,0,7,6,10,10,7,10,8,5,3,2,3,27,2,8,0,6,6,5,6,5,7,9,8,28,2,1,7
0,0,7,6,9,10,9,10,8,5,3,2,3,27,2,8,0,7,3,7,7,6,7,8,6,27,4,0,7
0,0,0,0,0,5,9,5,2,0,7,1,4,23,4,10,0,3,3,5,3,3,6,3,9,28,4,1,7
1,0,8,4,8,8,6,7,8,3,7,1,4,23,4,10,0,3,2,3,4,4,8,5,5,26,2,0,7
0,0,5,7,5,5,6,6,6,0,7,1,4,23,4,10,0,6,7,6,NA,6,8,6,7,26,3,0,7
1,0,7,5,7,6,7,8,7,3,7,1,4,23,4,10,0,4,5,3,5,4,7,9,8,29,2,0,7
0,0,6,3,5,6,4,6,5,0,7,1,4,23,4,10,1,10,3,10,NA,NA,10,10,10,39,2,0,7
1,0,7,4,6,8,5,7,7,4,7,1,4,23,4,10,0,5,6,6,0,6,8,5,8,28,2,0,7
1,0,5,4,6,8,7,8,6,1,7,1,4,23,4,10,0,4,1,8,2,2,7,4,7,30,6,0,7
0,0,4,4,4,8,5,8,4,1,7,1,4,23,4,10,1,6,5,6,6,6,9,8,9,22,4,1,7
0,0,5,5,5,7,6,6,5,4,7,1,4,23,4,10,0,4,5,3,2,2,7,2,7,32,2,0,7
0,0,4,4,6,8,4,5,4,0,7,1,4,23,4,10,0,5,3,6,5,5,7,5,8,26,2,0,7
1,0,10,7,10,10,10,10,8,0,7,1,4,23,4,10,0,10,1,10,10,10,10,10,10,27,2,0,7
0,0,5,6,7,7,7,6,5,4,7,1,4,23,4,10,0,6,3,6,5,5,7,6,7,25,1,0,7
1,0,6,5,8,7,7,7,6,3,7,1,4,23,4,10,0,7,7,6,4,3,10,NA,8,22,3,0,7
1,0,6,6,7,7,8,8,6,0,7,1,4,23,4,10,0,4,4,7,2,6,8,6,8,21,2,0,7
1,0,7,5,6,7,4,6,7,2,7,1,4,23,4,10,0,5,4,6,3,6,8,5,7,24,2,0,7
1,0,6,7,5,7,6,7,7,2,7,1,4,23,4,10,1,5,5,7,3,6,10,8,8,25,4,1,7
0,0,6,7,7,6,8,6,5,0,7,1,4,23,4,10,0,5,6,5,NA,4,6,NA,8,28,2,0,7
0,0,6,8,6,9,6,7,5,4,7,1,4,23,4,10,0,6,5,3,7,4,8,5,5,27,4,1,7
0,0,5,NA,7,7,8,7,5,3,2,8,6,25,6,1,1,7,5,9,5,8,8,8,8,28,4,0,3
0,0,5,NA,6,6,7,6,4,5,2,8,6,25,6,1,1,7,6,7,7,7,7,8,8,26,2,0,3
0,0,4,5,6,6,6,6,5,2,2,8,6,25,6,1,1,8,7,8,7,8,8,8,8,26,3,0,3
1,0,6,NA,6,7,7,8,6,2,2,8,6,25,6,1,1,8,5,8,6,8,8,9,8,29,2,0,3
0,0,6,3,5,9,8,8,6,2,2,8,6,25,6,1,1,10,3,10,NA,NA,10,NA,10,39,2,0,3
1,0,8,NA,8,7,8,8,8,6,2,8,6,25,6,1,1,9,9,9,8,7,8,8,8,28,2,0,3
0,0,6,NA,7,7,7,8,6,2,2,8,6,25,6,1,1,9,5,9,8,9,7,9,9,30,6,1,3
0,0,4,4,5,7,7,8,4,2,2,8,6,25,6,1,1,8,6,8,NA,8,7,NA,7,22,4,0,3
0,0,4,3,6,6,5,7,5,2,2,8,6,25,6,1,1,8,7,7,7,8,7,10,8,32,2,0,3
1,0,7,NA,7,7,7,8,7,3,2,8,6,25,6,1,1,8,6,8,8,8,8,8,8,26,2,0,3
1,0,7,NA,7,7,7,7,7,2,2,8,6,25,6,1,0,7,5,8,6,6,7,8,7,27,2,0,3
1,0,7,10,10,10,10,10,NA,8,2,8,6,25,6,1,1,8,10,8,7,9,8,7,10,25,1,0,3
1,0,5,NA,7,7,7,8,8,5,2,8,6,25,6,1,1,10,6,10,10,10,10,10,10,22,3,0,3
1,0,8,NA,8,7,NA,8,8,5,2,8,6,25,6,1,1,9,9,8,7,8,9,8,8,21,2,0,3
0,0,9,7,7,7,6,8,3,2,2,8,6,25,6,1,1,7,5,8,4,9,7,8,7,24,2,0,3
1,0,6,NA,8,7,8,8,7,3,2,8,6,25,6,1,1,7,5,10,5,7,10,8,8,25,4,0,3
1,0,6,NA,8,7,8,8,7,3,2,8,6,25,6,1,1,6,4,8,NA,7,8,8,8,28,2,0,3
0,0,5,NA,7,8,7,8,7,2,2,8,6,25,6,1,0,7,5,8,6,5,7,6,8,27,4,0,3
0,0,4,5,3,3,8,9,3,3,1,2,1,29,2,9,0,6,5,9,7,6,8,7,8,28,4,0,6
0,0,4,3,4,8,8,9,4,5,1,2,1,29,2,9,1,6,4,6,5,7,6,4,7,26,2,1,6
0,0,3,5,6,9,9,10,6,7,1,2,1,29,2,9,0,6,6,7,5,6,7,NA,7,26,3,0,6
1,0,10,10,8,10,9,10,9,8,1,2,1,29,2,9,1,6,5,8,9,6,7,8,8,29,2,1,6
1,0,8,6,3,7,8,8,7,7,1,2,1,29,2,9,1,10,3,10,NA,NA,10,NA,10,39,2,1,6
1,0,10,9,10,10,9,9,9,9,1,2,1,29,2,9,1,8,9,6,7,5,7,7,8,28,2,1,6
0,0,6,5,4,8,9,9,6,6,1,2,1,29,2,9,0,6,3,9,6,7,8,6,8,30,6,0,6
0,0,6,8,8,9,9,10,7,9,1,2,1,29,2,9,1,8,5,9,NA,7,8,NA,8,22,4,0,6
0,0,4,6,7,8,8,9,7,5,1,2,1,29,2,9,1,7,7,7,7,6,8,8,8,32,2,1,6
0,0,8,5,5,7,8,8,5,3,1,2,1,29,2,9,0,6,3,6,6,6,6,6,6,26,2,1,6
0,0,8,7,7,8,8,8,6,5,1,2,1,29,2,9,1,7,5,9,6,6,8,6,6,27,2,1,6
1,0,7,8,9,8,8,9,7,6,1,2,1,29,2,9,1,7,3,8,6,7,7,6,8,25,1,0,6
0,0,7,7,8,8,8,8,7,6,1,2,1,29,2,9,0,2,1,6,NA,4,10,6,4,22,3,0,6
1,0,8,9,10,9,9,9,8,8,1,2,1,29,2,9,1,8,6,9,8,9,9,9,9,21,2,1,6
1,0,8,9,9,9,8,10,8,9,1,2,1,29,2,9,0,6,4,8,2,6,7,8,6,24,2,1,6
1,0,7,7,7,9,9,9,7,8,1,2,1,29,2,9,1,8,5,9,3,6,10,8,8,25,4,0,6
1,0,6,5,8,9,8,9,7,8,1,2,1,29,2,9,1,7,6,9,5,8,NA,7,8,28,2,1,6
0,0,6,5,7,7,8,8,6,5,1,2,1,29,2,9,0,4,4,7,4,3,6,4,6,27,4,0,6
0,0,6,6,7,6,8,7,7,5,1,2,2,29,2,5,1,7,5,7,7,8,9,6,9,28,4,0,5
1,0,7,7,7,8,7,7,8,6,1,2,2,29,2,5,1,6,5,5,6,8,7,5,7,26,2,1,5
0,0,7,6,6,7,6,7,6,4,1,2,2,29,2,5,1,7,7,7,NA,8,8,NA,8,26,3,0,5
1,0,8,NA,8,7,NA,8,8,6,1,2,2,29,2,5,1,7,7,8,8,8,8,7,8,29,2,1,5
0,0,6,5,6,6,6,6,6,4,1,2,2,29,2,5,1,10,3,10,NA,NA,10,NA,10,39,2,1,5
1,0,7,6,7,6,7,7,7,NA,1,2,2,29,2,5,0,8,9,5,7,5,5,9,7,28,2,1,5
1,0,7,7,7,7,7,7,7.5,6,1,2,2,29,2,5,1,8,6,8,7,10,9,8,10,30,6,0,5
